ID,Evasión,Género,Pareja,Dependientes,Meses_contrato,Teléfono,Internet,Seguridad_online,Soporte_técnico_adicional,Televisión,Películas,Tipo_contrato,Factura_online,Forma_pago,Facturación_mensual,Facturación_anual,Cuentas_Diarias
0002-ORFBO,No,Femenino,Sí,Sí,9.0,Sí,Sí,No,Sí,Sí,No,One year,Sí,Mailed check,65.6,593.3,2.19
0003-MKNFE,No,Masculino,No,No,9.0,Sí,Sí,No,No,No,Sí,Month-to-month,No,Mailed check,59.9,542.4,2.0
0004-TLHLJ,Sí,Masculino,No,No,4.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Electronic check,73.9,280.85,2.46
0011-IGKFF,Sí,Masculino,Sí,No,13.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,98.0,1237.85,3.27
0013-EXCHZ,Sí,Femenino,Sí,No,3.0,Sí,Sí,No,Sí,Sí,No,Month-to-month,Sí,Mailed check,83.9,267.4,2.8
0013-MHZWF,No,Femenino,No,Sí,9.0,Sí,Sí,No,Sí,Sí,Sí,Month-to-month,Sí,Credit card (automatic),69.4,571.45,2.31
0013-SMEOE,No,Femenino,Sí,No,71.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Bank transfer (automatic),109.7,7904.25,3.66
0014-BMAQU,No,Masculino,Sí,No,63.0,Sí,Sí,Sí,Sí,No,No,Two year,Sí,Credit card (automatic),84.65,5377.8,2.82
0015-UOCOJ,No,Femenino,No,No,7.0,Sí,Sí,Sí,No,No,No,Month-to-month,Sí,Electronic check,48.2,340.35,1.61
0016-QLJIS,No,Femenino,Sí,Sí,65.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Mailed check,90.45,5957.9,3.02
0017-DINOC,No,Masculino,No,No,54.0,No,Sí,Sí,Sí,Sí,No,Two year,No,Credit card (automatic),45.2,2460.55,1.51
0017-IUDMW,No,Femenino,Sí,Sí,72.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Credit card (automatic),116.8,8456.75,3.89
0018-NYROU,No,Femenino,Sí,No,5.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Electronic check,68.95,351.5,2.3
0019-EFAEP,No,Femenino,No,No,72.0,Sí,Sí,Sí,No,Sí,No,Two year,Sí,Bank transfer (automatic),101.3,7261.25,3.38
0019-GFNTW,No,Femenino,No,No,56.0,No,Sí,Sí,Sí,No,No,Two year,No,Bank transfer (automatic),45.05,2560.1,1.5
0020-INWCK,No,Femenino,Sí,Sí,71.0,Sí,Sí,No,No,No,Sí,Two year,Sí,Credit card (automatic),95.75,6849.4,3.19
0020-JDNXP,No,Femenino,Sí,Sí,34.0,No,Sí,Sí,Sí,Sí,Sí,One year,No,Mailed check,61.25,1993.2,2.04
0021-IKXGC,No,Femenino,No,No,1.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Electronic check,72.1,72.1,2.4
0022-TCJCI,Sí,Masculino,No,No,45.0,Sí,Sí,Sí,No,No,Sí,One year,No,Credit card (automatic),62.7,2791.5,2.09
